hanzi,pinyin,english,hsk_level,category,frequency_rank
移民,yímín,"to immigrate, to emigrate",5,Verb,1746
体育,tǐyù,"physical education, sports",3,Noun,1750
对不起,duìbùqǐ,sorry,1,Verb,1752
作家,zuòjiā,writer,4,Noun,1754
结合,jiéhé,combination,5,Noun,1755
结合,jiéhé,"to combine, to integrate",5,Verb,1755
全面,quánmiàn,"all-around, comprehensive",5,Adjective,1756
逛,guàng,"to stroll around, to browse shops",4,Verb,1757
倍,bèi,"times (the amount), -fold",4,Measure Word,1758
主动,zhǔdòng,proactive,5,Adjective,1761
主动,zhǔdòng,to take the initiative to (do something),5,Verb,1761
互相,hùxiāng,mutually,4,Adverb,1762
果然,guǒrán,"as expected, sure enough",5,Adverb,1763
儿童,értóng,children,4,Noun,1767
欣赏,xīnshǎng,to appreciate,5,Verb,1769
娱乐,yúlè,entertainment,5,Noun,1770
消失,xiāoshī,to disappear,5,Verb,1771
随便,suíbiàn,as one pleases,4,Adjective,1772
博士,bóshì,Ph.D. (degree); doctor,4,Noun,1777
草,cǎo,grass,3,Noun,1778
慢,màn,slow,2,Adjective,1782
程序,chéngxù,"computer program, procedure",5,Noun,1784
或许,huòxǔ,perhaps/maybe,5,Conjunction,1785
到处,dàochù,everywhere,4,Adverb,1787
妇女,fùnǚ,woman (usu. married),5,Noun,1789
桌子,zhuōzi,desk,1,Noun,1790
底,dǐ,"bottom, base",4,Noun,1791
究竟,jiūjìng,"after all, when all is said and done, finally",4,Adverb,1793
河,hé,river,3,Noun,1798
通常,tōngcháng,usually,5,Adverb,1799
写作,xiězuò,writing,5,Noun,1801
演员,yǎnyuán,actor or actress,4,Noun,1802
生日,shēngrì,birthday,2,Noun,1803
方案,fāng'àn,solution,5,Noun,1807
到达,dàodá,to arrive,5,Verb,1809
骑,qí,"to ride (by straddling, as when riding a horse or bike)",3,Verb,1812
身份,shēnfèn,identity,5,Noun,1815
麻烦,máfan,troublesome,4,Adjective,1817
麻烦,máfan,"hassle, trouble",4,Noun,1817
麻烦,máfan,to trouble or bother someone,4,Verb,1817
不但,bùdàn,not only (... but also...),3,Conjunction,1819
寄,jì,"to mail, to send",4,Verb,1820
校长,xiàozhǎng,principal,3,Noun,1822
导演,dǎoyǎn,director,5,Noun,1824
生气,shēngqì,to get angry,3,Verb,1826
千万,qiānwàn,one must by all means (do something),4,Adverb,1827
千万,qiānwàn,ten million,4,Numeral,1827
数据,shùjù,data,5,Noun,1829
吓,xià,to frighten; to scare,5,Verb,1830
领域,lǐngyù,"domain, field, area",5,Noun,1833
观察,guānchá,observation,5,Noun,1834
观察,guānchá,to observe,5,Verb,1834
正好,zhènghǎo,"just happen to, by chance",4,Adverb,1838
见面,jiànmiàn,to meet,3,Verb,1839
伟大,wěidà,"great, grand",5,Adjective,1842
因素,yīnsù,factor,5,Noun,1847
商品,shāngpǐn,"commodity, goods",5,Noun,1848
一旦,yīdàn,"once (something happens, then...)",5,Conjunction,1853
双方,shuāngfāng,"both sides, both parties",5,Noun,1854
傻,shǎ,"silly, foolish",5,Adjective,1857
满意,mǎnyì,to be satisfied,3,Verb,1858
权利,quánlì,"right, privilege",5,Noun,1865
救,jiù,"to save, to rescue",5,Verb,1866
应用,yìngyòng,to apply (e.g. a principle),5,Verb,1868
状况,zhuàngkuàng,"condition, state, situation",5,Noun,1869
恨,hèn,to hate,5,Verb,1873
话题,huàtí,topic,5,Noun,1875
强调,qiángdiào,to emphasize,5,Verb,1877
盖,gài,to cover,5,Verb,1878
稳定,wěndìng,"steady, stable",5,Adjective,1880
可怜,kělián,"pitiful, poor",4,Adjective,1881
对象,duìxiàng,"object, (romantic) partner",5,Noun,1885
复杂,fùzá,"complicated, complex",4,Adjective,1886
秒,miǎo,second (unit of time),4,Measure Word,1890
经典,jīngdiǎn,"classic, classical",5,Adjective,1891
汤,tāng,"soup, broth",4,Noun,1895
重视,zhòngshì,"to attach importance to, to value",4,Verb,1897
嗯,en,"uh-huh, OK [an agreeable grunt]",5,Interjection,1899
商业,shāngyè,"business, trade, commerce",5,Noun,1904
消费,xiāofèi,consumption,5,Noun,1905
消费,xiāofèi,to consume,5,Verb,1905
英雄,yīngxióng,hero,5,Noun,1906
相对,xiāngduì,relative,5,Adjective,1908
逐渐,zhújiàn,gradual,5,Adjective,1909
逐渐,zhújiàn,gradually,5,Adverb,1909
工具,gōngjù,tool,5,Noun,1910
允许,yǔnxǔ,"to allow, to permit",4,Verb,1911
指导,zhǐdǎo,guidance,5,Noun,1913
指导,zhǐdǎo,"to guide, to direct",5,Verb,1913
天空,tiānkōng,sky,5,Noun,1915
人口,rénkǒu,population,5,Noun,1916
角度,jiǎodù,angle,5,Noun,1918
枪,qiāng,gun,5,Noun,1922
舒服,shūfu,comfortable; pleasant-feeling; feeling well,3,Adjective,1925
例如,lìrú,for example,4,Verb,1927
及时,jíshí,in time; promptly,4,Adverb,1928
照顾,zhàogu,to take care of,3,Verb,1931
图书馆,túshūguǎn,library,3,Noun,1934
明确,míngquè,"clear-cut, definite",5,Adjective,1935
公开,gōngkāi,to make public,5,Verb,1939
成长,chéngzhǎng,growth,5,Noun,1940
成长,chéngzhǎng,"to mature, to grow",5,Verb,1940
主人,zhǔrén,"master, host",5,Noun,1946
从此,cóngcǐ,"from now on, since then",5,Adverb,1948
从事,cóngshì,to engage in,5,Verb,1952
提醒,tíxǐng,to remind,4,Verb,1956
喂,wèi,"hey, hello",1,Interjection,1962
经理,jīnglǐ,manager,3,Noun,1967
出租车,chūzūchē,taxi,1,Noun,1968
出租车,chūzūchē,taxi,3,Noun,1968
宣布,xuānbù,"to declare, to announce",5,Verb,1969
反而,fǎnér,instead; on the contrary; contrary (to expectations),5,Conjunction,1971
绿,lǜ,green,3,Adjective,1974
自行车,zìxíngchē,bicycle,3,Noun,1975
激动,jīdòng,excited,4,Adjective,1978
醒,xǐng,to wake up,4,Verb,1979
礼物,lǐwù,"gift, present",3,Noun,1980
退,tuì,to retreat,5,Verb,1984
空气,kōngqì,air,4,Noun,1988
学术,xuéshù,"learning, academics",5,Noun,1990
放心,fàngxīn,to be at ease,3,Verb,1991
彻底,chèdǐ,"utterly, thoroughly",5,Adverb,1993
和平,Hépíng,peace,5,Noun,1995
聪明,cōngming,"smart, intelligent",3,Adjective,1999
详细,xiángxì,detailed,4,Adjective,2000
租,zū,to rent,4,Verb,2002
评价,píngjià,evaluation,5,Noun,2003
评价,píngjià,to evaluate,5,Verb,2003
生意,shēngyi,business,4,Noun,2007
胖,pàng,"fat, chubby",3,Adjective,2011
减少,jiǎnshǎo,to decrease,4,Verb,2012
敌人,dírén,enemy,5,Noun,2015
太太,tàitai,wife; Mrs.,5,Noun,2016
高级,gāojí,high-level,5,Adjective,2018
流行,liúxíng,to be popular,4,Verb,2023
干净,gānjìng,"clean, neat",3,Adjective,2025
良好,liánghǎo,good,5,Adjective,2030
体现,tǐxiàn,to embody,5,Verb,2036
赚,zhuàn,to earn; to make a profit,4,Verb,2038
发挥,fāhuī,to exhibit (certain qualities),5,Verb,2043
论文,lùnwén,thesis,5,Noun,2046
综合,zōnghé,to consolidate,5,Verb,2049
练习,liànxí,"practice, a (language) exercise",3,Noun,2054
练习,liànxí,to practice,3,Verb,2054
凭,píng,based on,5,Verb,2057
移动,yídòng,mobile,5,Verb,2061
鼓励,gǔlì,encouragement,4,Noun,2068
鼓励,gǔlì,to encourage; encouragement,4,Verb,2068
秘密,mìmì,secret,5,Adjective,2076
秘密,mìmì,secret,5,Noun,2076
措施,cuòshī,measures (taken to solve a problem),5,Noun,2078
失败,shībài,failure,4,Noun,2080
失败,shībài,to fail,4,Verb,2080
重大,zhòngdà,great,5,Adjective,2081
位于,wèiyú,to be located at,5,Verb,2083
抢,qiǎng,"to grab, to rob",5,Verb,2084
不足,bùzú,"insufficient, lacking",5,Adjective,2086
周末,zhōumò,weekend,3,Noun,2088
幅,fú,[measure word for cloth or pictures],5,Measure Word,2090
背景,bèijǐng,background,5,Noun,2092
命运,mìngyùn,fate,5,Noun,2099
制造,zhìzào,to manufacture,5,Verb,2100
道理,dàolǐ,"reason, sense",5,Noun,2101
无数,wúshù,countless,5,Adjective,2103
性格,xìnggé,"personality, character",4,Noun,2104
疼,téng,"to hurt, to be sore; to love dearly",3,Verb,2105
批评,pīpíng,criticism,4,Noun,2109
批评,pīpíng,to criticize,4,Verb,2109
教材,jiàocái,teaching materials,5,Noun,2111
符合,fúhé,to accord with; to meet (some criteria),4,Verb,2115
顺利,shùnlì,smooth; smoothly,4,Adjective,2119
上网,shàngwǎng,"to go online, to use the internet",3,Verb,2120
矛盾,máodùn,contradicting,5,Adjective,2123
矛盾,máodùn,contradiction,5,Noun,2123
签证,qiānzhèng,visa (in a passport),4,Noun,2127
劳动,láodòng,"labor, work",5,Noun,2130
劳动,láodòng,to work,5,Verb,2130
出生,chūshēng,to be born,4,Verb,2134
日记,rìjì,diary,4,Noun,2135
内部,nèibù,interior,5,Noun,2137
恐怕,kǒngpà,I'm afraid that...,4,Adverb,2144
厉害,lìhai,"impressive, awesome; tremendous",4,Adjective,2147
唉,āi,[sound of a sigh],5,Interjection,2150
相同,xiāngtóng,"same, identical",4,Adjective,2151
温暖,wēnnuǎn,warm,5,Adjective,2153
道德,dàodé,morality,5,Noun,2154
无奈,wúnài,to lack a better option,5,Verb,2158
员工,yuángōng,"employee, staff",5,Noun,2161
夏,xià,summer,3,Noun,2162
合同,hétong,a contract,5,Noun,2164
平静,píngjìng,serene,5,Adjective,2167
限制,xiànzhì,limit,5,Noun,2172
限制,xiànzhì,to limit,5,Verb,2172
断,duàn,to break (something long),5,Verb,2177
举办,jǔbàn,to conduct; to hold,4,Verb,2178
复习,fùxí,to review (as part of one's studies),3,Verb,2180
短信,duǎnxìn,text message,4,Noun,2185
优势,yōushì,advantage,5,Noun,2187
数量,shùliàng,"amount, quantity",4,Noun,2189
脑袋,nǎodài,head,5,Noun,2192
贸易,màoyì,trade,5,Noun,2193
厨房,chúfáng,kitchen,3,Noun,2195
厨房,chúfáng,kitchen,4,Noun,2195
出发,chūfā,"to depart, to set off",4,Verb,2200
作业,zuòyè,homework,3,Noun,2202
服装,fúzhuāng,clothing,5,Noun,2206
肚子,dùzi,"belly, abdomen",4,Noun,2209
成熟,chéngshú,mature; ripe,5,Adjective,2212
尊重,zūnzhòng,to respect,4,Verb,2213
实践,shíjiàn,practice (as opposed to theory),5,Noun,2216
梦想,mèngxiǎng,life dream,5,Noun,2217
赶,gǎn,"to hurry, to rush, to catch up with",4,Verb,2218
瘦,shòu,thin,3,Adjective,2220
秋,qiū,autumn,3,Noun,2225
适应,shìyìng,to adapt to,4,Verb,2227
接近,jiējìn,to get close to,5,Verb,2228
对话,duìhuà,dialog,4,Noun,2229
对话,duìhuà,to have a dialog,4,Verb,2229
晴,qíng,"clear, fine (weather)",2,Noun,2230
沉默,chénmò,"silent, uncommunicative",5,Adjective,2231
精彩,jīngcǎi,"spectacular, wonderful",4,Adjective,2234
尽量,jǐnliàng,to the best of one's ability,5,Adverb,2236
举,jǔ,"to raise, to lift",4,Verb,2237
彼此,bǐcǐ,one another,5,Personal Pronoun,2238
持续,chíxù,"to continue, to persist",5,Verb,2239
看法,kànfǎ,point of view,4,Noun,2242
严格,yángé,strict,4,Adjective,2243
擦,cā,"to wipe, to scrub, to erase",4,Verb,2244
宽,kuān,"wide, broad",5,Adjective,2253
气氛,qìfēn,"atmosphere, mood",5,Noun,2256
号码,hàomǎ,number,4,Noun,2259
丢,diū,"to become lost, to throw, to cast",4,Verb,2261
忍不住,rěnbuzhù,to be unable to bear,5,Verb,2267
观念,guānniàn,conception,5,Noun,2268
饭店,fàndiàn,restaurant,1,Noun,2269
角色,juésè,role (in a story),5,Noun,2272
朵,duǒ,[measure word for flowers],5,Measure Word,2273
地铁,dìtiě,"subway, metro",3,Noun,2274
时刻,shíkè,moment,5,Noun,2279
安静,ānjìng,quiet,3,Adjective,2280
承担,chéngdān,to take on (a responsibility),5,Verb,2281
进步,jìnbù,"to improve, to progress",5,Verb,2282
银,yín,silver,5,Noun,2284
小心,xiǎoxīn,to be careful,3,Adjective,2288
签,qiān,to sign (one's name),5,Verb,2291
亚洲,Yàzhōu,Asia,4,Noun,2295
墙,qiáng,wall,5,Noun,2297
缺乏,quēfá,"to be short of, to lack",5,Verb,2299
平均,píngjūn,to average,5,Verb,2301
伤害,shānghài,harm,5,Noun,2302
伤害,shānghài,to hurt,5,Verb,2302
自动,zìdòng,automatic,5,Adjective,2306
屋子,wūzi,"room, small house",5,Noun,2308
软,ruǎn,soft,5,Adjective,2309
圆,yuán,round,5,Adjective,2311
石头,shítou,stone,5,Noun,2312
组成,zǔchéng,"to form, to make up",5,Verb,2316
啤酒,píjiǔ,beer,3,Noun,2319
工业,gōngyè,industry,5,Noun,2321
纪念,jìniàn,to commemorate,5,Verb,2323
办理,bànlǐ,"to handle (official business), to process",5,Verb,2324
青春,qīngchūn,youth,5,Noun,2326
避免,bìmiǎn,to avoid,5,Verb,2330
富,fù,rich,4,Adjective,2337
纷纷,fēnfēn,"one after another, in succession",5,Adverb,2338
连续,liánxù,"in a row, continuous",5,Adverb,2339
胜利,shènglì,victory,5,Noun,2341
胜利,shènglì,to be victorious,5,Verb,2341
深刻,shēnkè,"deep, profound",5,Adjective,2342
合适,héshì,suitable,4,Adjective,2345
意外,yìwài,unexpected,5,Adjective,2346
意外,yìwài,an accident,5,Noun,2346
规模,guīmó,"scale, scope",5,Noun,2349
整理,zhěnglǐ,"to organize, to tidy up",4,Verb,2350
地图,dìtú,map,3,Noun,2351
提前,tíqián,in advance,4,Adverb,2359
提前,tíqián,to move up the date,4,Verb,2359
总结,zǒngjié,summary,4,Noun,2360
总结,zǒngjié,to sum up,4,Verb,2360
机场,jīchǎng,airport,2,Noun,2365
合理,hélǐ,reasonable,5,Adjective,2368
酒吧,jiǔbā,"bar, pub",5,Noun,2374
从而,cóngér,thereby,5,Conjunction,2376
存,cún,"to save (money, computer files, etc.)",4,Verb,2377
偶尔,ǒu'ěr,occasionally,4,Adverb,2378
花园,huāyuán,(flower) garden,3,Noun,2379
此外,cǐwài,"in addition, furthermore",5,Conjunction,2382
遗憾,yíhàn,regret,5,Noun,2383
遗憾,yíhàn,to regret,5,Verb,2383
题目,tímù,"topic, subject",5,Noun,2385
权力,quánlì,"power, rights",5,Noun,2395
邀请,yāoqǐng,to invite; invitation,4,Verb,2400
旅行,lǚxíng,trip,4,Noun,2402
旅行,lǚxíng,to travel,4,Verb,2402
硬,yìng,"hard, firm, tough",5,Adjective,2404
邻居,línjū,neighbor,3,Noun,2406
明星,míngxīng,"a star, a celebrity",5,Noun,2408
脱,tuō,to take off (clothing),4,Verb,2412
破坏,pòhuài,to destroy,5,Verb,2417
甜,tián,sweet,3,Adjective,2421
担任,dānrèn,to hold a (government) position,5,Verb,2426
参观,cānguān,to visit; to tour,4,Verb,2430
军事,jūnshì,military affairs,5,Noun,2431
公园,gōngyuán,public park,3,Noun,2432
棒,bàng,great,4,Adjective,2433
命令,mìnglìng,a command,5,Noun,2435
命令,mìnglìng,to give a command,5,Verb,2435
时尚,shíshàng,fashion,5,Adjective,2436
玻璃,bōli,glass (the substance),5,Noun,2437
区别,qūbié,difference,4,Noun,2439
故意,gùyì,"on purpose, intentional",4,Adverb,2441
册,cè,[measure word for booklets],5,Measure Word,2442
计算,jìsuàn,to calculate,5,Noun,2454
角,jiǎo,unit of money (equal to 1/10 yuan),3,Measure Word,2456
糖,táng,sugar; candy,3,Noun,2457
糖,táng,sugar; candy,4,Noun,2457
期待,qīdài,to look forward to,5,Verb,2458
搜索,sōusuǒ,to search (often online),5,Verb,2459
词汇,cíhuì,vocabulary,5,Noun,2462
老百姓,lǎobǎixìng,the ordinary people,5,Noun,2463
打工,dǎgōng,"to do a part time job, to do manual labor",5,Verb,2465
耳朵,ěrduo,ear,3,Noun,2466
长城,Chángchéng,the Great Wall of China,4,Noun,2469
厕所,cèsuǒ,"toilet, restroom",4,Noun,2471
律师,lǜshī,lawyer,4,Noun,2477
针对,zhēnduì,be aimed at,5,Verb,2481
暗,àn,dark,5,Adjective,2485
疯狂,fēngkuáng,crazy,5,Adjective,2486
年纪,niánjì,age,5,Noun,2487
升,shēng,liter (L),5,Measure Word,2489
升,shēng,to raise,5,Verb,2489
设施,shèshī,facilities,5,Noun,2492
劝,quàn,to urge,5,Verb,2494
椅子,yǐzi,chair,1,Noun,2495
判断,pànduàn,judgement,4,Noun,2496
判断,pànduàn,"to judge, to determine",4,Verb,2496
亲自,qīnzì,personally,5,Adverb,2497
婚姻,hūnyīn,marriage,5,Noun,2499
体会,tǐhuì,a personal experience,5,Noun,2501
体会,tǐhuì,to (personally) experience,5,Verb,2501
一致,yīzhì,consistent,5,Adjective,2505
失望,shīwàng,disappointed,4,Adjective,2509
失望,shīwàng,to be disappointed,4,Verb,2509
食物,shíwù,food,5,Noun,2511
咬,yǎo,to bite,5,Verb,2512
手指,shǒuzhǐ,finger,5,Noun,2514
面积,miànjī,(surface) area,5,Noun,2515
召开,zhàokāi,to convene (a conference or meeting),5,Verb,2517
配合,pèihé,cooperation,5,Noun,2519
配合,pèihé,to cooperate with,5,Verb,2519
保留,bǎoliú,"to retain, to preserve",5,Verb,2522
可怕,kěpà,"scary, terrible",5,Adjective,2525
频道,píndào,channel,5,Noun,2527
运用,yùnyòng,to put to use,5,Verb,2531
神秘,shénmì,mysterious,5,Adjective,2533
一辈子,yībèizi,(for) a lifetime,5,Noun,2534
收拾,shōushi,to clear away,4,Verb,2536
各自,gèzì,each,5,Personal Pronoun,2537
随时,suíshí,at any time,5,Adverb,2541
摇,yáo,"to shake, to rock",5,Verb,2542
咨询,zīxún,to consult,5,Verb,2544
大型,dàxíng,large-scale,5,Adjective,2547
穷,qióng,poor,4,Adjective,2549
公布,gōngbù,"to announce, to make public",5,Verb,2551
安慰,ānwèi,consolation,5,Noun,2553
安慰,ānwèi,to console,5,Verb,2553
损失,sǔnshī,loss,5,Noun,2555
损失,sǔnshī,to lose (something of value),5,Verb,2555
修改,xiūgǎi,to modify,5,Verb,2556
资格,zīgé,qualifications,5,Noun,2559
广播,guǎngbō,broadcast; to broadcast,4,Noun,2561
广播,guǎngbō,to broadcast,4,Verb,2561
撞,zhuàng,to crash (into),5,Verb,2562
手术,shǒushù,surgery,5,Noun,2563
骗,piàn,"to trick, to fool, to cheat, to deceive",4,Verb,2564
闻,wén,to smell (something),5,Verb,2565
扔,rēng,"to throw, to throw away",4,Verb,2566
成人,chéngrén,adult,5,Noun,2570
表明,biǎomíng,to make clear,5,Verb,2573
普遍,pǔbiàn,universal; general; widespread; common,4,Adjective,2579
饿,è,to be hungry; hungry,3,Adjective,2580
保险,bǎoxiǎn,insurance,5,Noun,2581
面临,miànlín,to be faced with (a situation),5,Verb,2582
色彩,sècǎi,coloring,5,Noun,2586
规则,guīzé,rules,5,Noun,2587
趟,tàng,time(s) [measure word used for round trips],4,Measure Word,2589
贡献,gòngxiàn,contribution,5,Noun,2592
贡献,gòngxiàn,to contribute,5,Verb,2592
哎,āi,[sound of surprise or unhappiness],5,Interjection,2597
个性,gèxìng,personality,5,Noun,2601
紫,zǐ,purple,5,Noun,2602
广大,guǎngdà,(of an area) vast or extensive,5,Adjective,2606
辛苦,xīnkǔ,"to be a lot of hard work, toilsome",4,Adjective,2611
炒,chǎo,to stir fry,5,Verb,2615
师傅,shīfu,master; qualified worker,4,Noun,2616
沙发,shāfā,sofa,4,Noun,2617
信心,xìnxīn,confidence,4,Noun,2619
吻,wěn,a kiss,5,Noun,2621
吻,wěn,to kiss,5,Verb,2621
讨厌,tǎoyàn,"to dislike, to hate",4,Verb,2623
滴,dī,a drop,5,Measure Word,2627
滴,dī,to drip,5,Verb,2627
温柔,wēnróu,gentle,5,Adjective,2628
作文,zuòwén,composition (student essay),5,Noun,2637
体验,tǐyàn,an experience,5,Noun,2642
体验,tǐyàn,to experience onself,5,Verb,2642
类型,lèixíng,"type, category",5,Noun,2645
皮肤,pífū,skin,4,Noun,2646
有趣,yǒuqù,"interesting, amusing",4,Adjective,2647
联合,liánhé,to unite,5,Verb,2649
阴,yīn,overcast (in 阴天),2,Noun,2663
固定,gùdìng,fixed,5,Adjective,2666
固定,gùdìng,to fix (in place),5,Verb,2666
物质,wùzhì,"matter, material",5,Noun,2667
哲学,zhéxué,philosophy,5,Noun,2668
顾客,gùkè,customer,4,Noun,2672
总理,zǒnglǐ,premier,5,Noun,2673
沟通,gōutōng,"to communicate, to connect",5,Verb,2675
整体,zhěngtǐ,whole entity,5,Noun,2676
集体,jítǐ,"collective (behavior, etc.)",5,Noun,2677
浪漫,làngmàn,romantic,4,Adjective,2679
语法,yǔfǎ,grammar,4,Noun,2680
鼻子,bízi,nose,3,Noun,2686
冬,dōng,winter,3,Noun,2688
寂寞,jìmò,lonely,5,Adjective,2689
护士,hùshi,nurse,4,Noun,2692
自从,zìcóng,since (a time); ever since (something happened),5,Conjunction,2699
重复,chóngfù,to repeat,5,Verb,2700
敲,qiāo,"to knock, to strike, to tap",4,Verb,2701
暂时,zànshí,temporary; temporarily,4,Noun,2702
陌生,mòshēng,unfamiliar,5,Adjective,2703
刻,kè,quarter (hour),3,Measure Word,2704
商店,shāngdiàn,store,1,Noun,2708
阿姨,āyí,maternal aunt; housekeeper,3,Noun,2710
帮忙,bāngmáng,"to help, to do a favor",3,Verb,2715
威胁,wēixié,a threat,5,Noun,2717
威胁,wēixié,to threaten,5,Verb,2717
再见,zàijiàn,good-bye,1,Verb,2722
再见,zàijiàn,"goodbye, see you later",3,Verb,2722
魅力,mèilì,"charm, charisma",5,Noun,2723
座位,zuòwèi,seat,4,Noun,2724
街道,jiēdào,street,3,Noun,2725
古代,gǔdài,ancient times,5,Noun,2727
洞,dòng,cave,5,Noun,2728
完整,wánzhěng,complete,5,Adjective,2729
愉快,yúkuài,"pleasant, happy",4,Adjective,2730
构成,gòuchéng,"to form, to compose",5,Verb,2731
插,chā,to insert,5,Verb,2733
后悔,hòuhuǐ,to regret,4,Verb,2736
安装,ānzhuāng,to install,5,Verb,2754
好处,hǎochù,benefit,4,Noun,2761
无聊,wúliáo,boring; bored,4,Adjective,2762
勇气,yǒngqì,courage,5,Noun,2763
刺激,cìjī,"to stimulate, to provoke",5,Verb,2764
实验,shíyàn,"test, experiment",5,Noun,2768
实验,shíyàn,to experiment,5,Verb,2768
切,qiē,"to cut, to slice",5,Verb,2771
俩,liǎ,"two, both",4,Numeral,2776
传播,chuánbō,"to propagate, to spread",5,Verb,2782
必然,bìrán,inevitable,5,Adjective,2783
必然,bìrán,inevitably,5,Adverb,2783
挑战,tiǎozhàn,a challenge,5,Noun,2796
挑战,tiǎozhàn,to challenge,5,Verb,2796
突出,tūchū,outstanding,5,Adjective,2797
突出,tūchū,to highlight,5,Verb,2797
对待,duìdài,to treat (someone a certian way),5,Verb,2802
新鲜,xīnxiān,fresh,3,Adjective,2808
餐厅,cāntīng,restaurant,4,Noun,2809
风景,fēngjǐng,"scenery, landscape",5,Noun,2813
参考,cānkǎo,to reference,5,Verb,2814
超级,chāojí,super,5,Adjective,2818
传说,chuánshuō,legend,5,Noun,2820
棵,kē,[measure word for trees or other large plants],4,Measure Word,2823
脖子,bózi,neck,5,Noun,2825
制定,zhìdìng,"to make, to draft, to formulate",5,Verb,2828
本科,běnkē,undergraduate course of study,5,Noun,2829
完美,wánměi,perfect,5,Adjective,2830
完美,wánměi,perfection,5,Noun,2830
准确,zhǔnquè,"accurate, precise",4,Adjective,2832
补充,bǔchōng,"to supplement, to add in",5,Verb,2833
要不,yàobù,"otherwise, how about...",5,Conjunction,2835
好吃,hǎochī,"tasty, delicious",2,Adjective,2836
吐,tǔ,"to vomit, to spit up",5,Verb,2839
展开,zhǎnkāi,to unfold,5,Verb,2840
女士,nǚshì,"lady, madam",5,Noun,2844
比例,bǐlì,proportion,5,Noun,2854
农业,nóngyè,agriculture,5,Noun,2856
叔叔,shūshu,"uncle, father's younger brother",3,Noun,2858
假如,jiǎrú,if,5,Conjunction,2859
热闹,rènao,bustling with noise and excitement;lively,4,Adjective,2864
扩大,kuòdà,to expand,5,Verb,2865
臭,chòu,"stinky, smelly",5,Adjective,2866
薄,báo,thin (e.g. of clothing),5,Adjective,2867
不然,bùrán,otherwise; how about ...?,5,Conjunction,2870
把握,bǎwò,certainty (of an outcome),5,Noun,2871
把握,bǎwò,to grasp,5,Verb,2871
伤心,shāngxīn,sad,4,Adjective,2873
赢,yíng,to win,4,Verb,2877
恋爱,liàn'ài,(romantic) love,5,Noun,2879
恋爱,liàn'ài,to be in love,5,Verb,2879
删除,shānchú,to delete,5,Verb,2881
呼吸,hūxī,to breathe,5,Verb,2889
反复,fǎnfù,"repeatedly, over and over",5,Adverb,2891
黄金,huángjīn,gold,5,Noun,2903
晕,yūn,dizzy,5,Adjective,2906
争取,zhēngqǔ,to fight for,5,Verb,2907
总之,zǒngzhī,"in a word, in brief",5,Conjunction,2908
促进,cùjìn,to promote (an idea or cause),5,Verb,2912
逃,táo,to escape,5,Verb,2915
机器,jīqì,machine,5,Noun,2916
互联网,Hùliánwǎng,the Internet,4,Noun,2921
汗,hàn,"sweat, perspiration",4,Noun,2924
浪费,làngfèi,to waste,4,Verb,2932
成果,chéngguǒ,"result, achievement",5,Noun,2933
腰,yāo,"waist, lower back",5,Noun,2938
地球,dìqiú,the Earth,4,Noun,2940
小伙子,xiǎohuǒzi,young guy,4,Noun,2941
浏览,liúlǎn,to browse,5,Verb,2944
乙,yǐ,second (of the ten Heavenly Stems),5,Noun,2945
学期,xuéqī,(school) semester,4,Noun,2947
起床,qǐchuáng,to get up (out of bed),2,Verb,2948
起床,qǐchuáng,to get up (out of bed),3,Verb,2948
离婚,líhūn,to get a divorce,5,Verb,2949
关闭,guānbì,to close,5,Verb,2951
购物,gòuwù,shopping,4,Verb,2954
细节,xìjié,detail,5,Noun,2955
智慧,zhìhuì,"wisdom, intelligence",5,Noun,2962
冠军,guànjūn,champion,5,Noun,2969
分配,fēnpèi,to distribute,5,Verb,2979
硕士,shuòshì,"master's degree, M.A.",4,Noun,2980
主持,zhǔchí,to host (an event),5,Verb,2985
从前,cóngqián,"formerly, once upon a time",5,Noun,2986
感兴趣,gǎn xìngqù,to be interested in,3,Phrase,2988
打印,dǎyìn,to print,4,Verb,2989
风险,fēngxiǎn,risk,5,Noun,2995
商量,shāngliang,to discuss and come to an agreement,4,Verb,2998
贷款,dàikuǎn,a loan; to provide a loan (e.g. bank),5,Noun,3001
对手,duìshǒu,"opponent, adversary",5,Noun,3003
挣,zhēng,"to struggle for, to vie for",5,Verb,3006
手续,shǒuxù,procedure,5,Noun,3009
事物,shìwù,"thing, object",5,Noun,3010
摄影,shèyǐng,to take a photograph,5,Verb,3018
最初,zuìchū,initial,5,Adjective,3019
输入,shūrù,to input,5,Verb,3021
工厂,gōngchǎng,factory,5,Noun,3024
严肃,yánsù,serious,5,Adjective,3033
悄悄,qiāoqiāo,secretly,5,Adverb,3037
自信,zìxìn,to be self-confident,4,Adjective,3038
提问,tíwèn,to raise a question,5,Verb,3039
广泛,guǎngfàn,"broad, wide-ranging",5,Adjective,3052
踩,cǎi,to step on,5,Verb,3053
独特,dútè,unique and special,5,Adjective,3054
询问,xúnwèn,to inquire,5,Verb,3062
大厦,dàshà,office tower,5,Noun,3064
输,shū,to lose (a competition),4,Verb,3067
告别,gàobié,to bid farewell to,5,Verb,3069
唱歌,chànggē,to sing a song,2,Verb,3070
尝,cháng,to try (a food),4,Verb,3071
核心,héxīn,core,5,Noun,3075
窗户,chuānghu,window,4,Noun,3077
锁,suǒ,a lock,5,Noun,3079
锁,suǒ,to lock,5,Verb,3079
